blockcollect,ID,condition,p,trialcollect
train,3,m1,1.174044971967298e-16,39
train,3,m1,3.4919465293128526e-16,40
test,3,m1,3.2490022718077696e-20,41
test,3,m1,1.41016158505361e-18,42
test,3,m1,7.537548501449619e-18,43
test,3,m1,3.3232239189669003e-17,44
test,3,m1,1.4465036411890353e-17,45
test,3,m1,2.022461229903583e-16,46
test,3,m1,3.800317926425404e-15,47
test,3,m1,1.2872360758214786e-15,48
test,3,m1,6.9397536423486915e-15,49
test,3,m1,4.873339475765389e-16,50
test,3,m1,4.7680559273996395e-16,51
test,3,m1,1.1193278347147522e-16,52
test,3,m1,7.587250191185349e-15,53
test,3,m1,3.0343013115307035e-17,54
test,3,m1,1.4679253558880028e-15,55
test,3,m1,4.62830279676185e-15,56
test,3,m1,2.698199630676932e-16,57
test,3,m1,2.2774498842928698e-15,58
test,3,m1,9.906327297912795e-15,59
test,3,m1,1.5780027930978563e-15,60
test,3,m1,8.438188807359439e-15,61
test,3,m1,8.30205282504378e-15,62
test,3,m1,1.3257055594286904e-15,63
test,3,m1,2.4216902778478573e-15,64
train,4,m1,2.277173855308926e-34,1
train,4,m1,2.9301917849691737e-25,2
train,4,m1,2.960503848082686e-22,3
train,4,m1,3.680218310597625e-20,4
train,4,m1,8.644653909229433e-20,5
train,4,m1,1.669707596818022e-18,6
train,4,m1,8.313924838832497e-17,7
train,4,m1,1.045304252334382e-17,8
train,4,m1,1.293299005309027e-16,9
train,4,m1,7.857745715968037e-16,10
train,4,m1,1.233494905812627e-16,11
train,4,m1,3.338306134686151e-16,12
train,4,m1,1.5126446720965304e-16,13
train,4,m1,6.61804245569873e-17,14
train,4,m1,3.4566276376925124e-17,15
train,4,m1,1.7977124524421076e-17,16
train,4,m1,4.30037515590265e-16,17
train,4,m1,3.5131109709889813e-16,18
train,4,m1,2.8894883634080415e-15,19
train,4,m1,7.159457577603104e-16,20
train,4,m1,2.1900781975555723e-16,21
train,4,m1,8.567783260102571e-17,22
train,4,m1,1.7016420748261984e-16,23
train,4,m1,3.678721264649366e-15,24
train,4,m1,2.3739339779465087e-16,25
train,4,m1,1.6403279008733013e-15,26
train,4,m1,2.9065642969889626e-19,27
train,4,m1,1.9919630145443038e-16,28
train,4,m1,1.3955701604072052e-16,29
train,4,m1,2.8676412925857645e-17,30
train,4,m1,1.988681529497302e-15,31
train,4,m1,1.1919285638711352e-15,32
train,4,m1,1.4086316731516625e-15,33
train,4,m1,1.6266456717971842e-15,34
train,4,m1,1.0093092133551737e-15,35
train,4,m1,3.2286062624125363e-15,36
train,4,m1,1.4243518634988734e-15,37
train,4,m1,3.680741014712094e-15,38
train,4,m1,4.970869496290209e-16,39
train,4,m1,8.85784873997774e-15,40
test,4,m1,6.0006872419186065e-21,41
test,4,m1,3.130351084077554e-18,42
test,4,m1,4.0300397124887776e-19,43
test,4,m1,3.1771813457705726e-19,44
test,4,m1,5.543580004053792e-18,45
test,4,m1,1.294422515104221e-16,46
test,4,m1,6.926189733187394e-17,47
test,4,m1,1.6114123136364076e-15,48
test,4,m1,3.090373238277713e-16,49
test,4,m1,1.6470758947267211e-15,50
test,4,m1,3.7535197994584126e-18,51
test,4,m1,1.6688732711847738e-14,52
test,4,m1,7.69869346902265e-15,53
test,4,m1,1.9161294729716505e-14,54
test,4,m1,1.8701458330344038e-15,55
test,4,m1,4.739618596140589e-15,56
test,4,m1,1.9090650487849602e-14,57
test,4,m1,8.835733556757878e-15,58
test,4,m1,3.907760667652823e-15,59
test,4,m1,4.7504087794490724e-14,60
test,4,m1,6.727771788837041e-15,61
test,4,m1,6.872075879269662e-14,62
test,4,m1,5.9878652160043604e-15,63
test,4,m1,2.081418719969202e-15,64
train,7,m1,3.992335577927963e-32,1
train,7,m1,7.081456166536586e-22,2
train,7,m1,3.6005736906070515e-18,3
train,7,m1,7.716011031934966e-21,4
train,7,m1,4.493672410184961e-21,5
train,7,m1,3.045820049714688e-18,6
train,7,m1,2.851191978924535e-17,7
train,7,m1,2.158102472186151e-17,8
train,7,m1,1.4599972730854904e-17,9
train,7,m1,2.95831814448305e-19,10
train,7,m1,1.231839684319684e-17,11
train,7,m1,2.2719631224979117e-16,12
train,7,m1,1.1181743346592695e-15,13
train,7,m1,2.632352083450771e-17,14
train,7,m1,1.247752720246183e-16,15
train,7,m1,1.602939972460615e-15,16
train,7,m1,5.408023729763746e-16,17
train,7,m1,2.2061601768503793e-17,18
train,7,m1,2.7607842481715923e-16,19
train,7,m1,1.2111761170480683e-15,20
train,7,m1,1.573037724189068e-16,21
train,7,m1,5.996937018278793e-17,22
train,7,m1,7.0258655528654054e-15,23
train,7,m1,2.5825901154094425e-15,24
train,7,m1,6.254654733414794e-17,25
train,7,m1,1.4402925735799462e-16,26
train,7,m1,3.269537435522706e-15,27
train,7,m1,2.319377803423721e-14,28
train,7,m1,2.1878698397252705e-14,29
train,7,m1,2.0853001558057663e-17,30
train,7,m1,6.440657477629224e-16,31
train,7,m1,2.4761413673456264e-15,32
train,7,m1,1.639222544052958e-14,33
train,7,m1,1.1163236470788576e-16,34
train,7,m1,3.074292190719148e-14,35
train,7,m1,2.7530759518900466e-14,36
train,7,m1,1.3386151885777932e-15,37
train,7,m1,4.8209934748997835e-15,38
train,7,m1,1.984804193829598e-14,39
train,7,m1,4.661882655626094e-14,40
test,7,m1,4.9371741005551464e-21,41
test,7,m1,1.6223195568982013e-16,42
test,7,m1,6.306964725453974e-18,43
test,7,m1,2.556740893320728e-16,44
test,7,m1,6.607846428945054e-16,45
test,7,m1,2.120540831295335e-19,46
test,7,m1,9.742332746069077e-17,47
test,7,m1,2.687943304524553e-19,48
test,7,m1,3.247894642577527e-14,49
test,7,m1,9.366694465678341e-15,50
test,7,m1,2.6848416034613767e-15,51
test,7,m1,2.2452065163644508e-14,52
test,7,m1,3.383820126617881e-16,53
test,7,m1,1.8425628139119983e-16,54
test,7,m1,1.1837670573172052e-16,55
test,7,m1,3.0806216952394827e-13,56
