blockcollect,ID,condition,p,trialcollect
train,7,m1,1.413108860611953e-13,33
train,7,m1,9.948118717684196e-14,34
train,7,m1,5.403446787233257e-14,35
train,7,m1,9.237426226499021e-14,36
train,7,m1,1.0779066001050368e-15,37
train,7,m1,2.11012322659564e-14,38
train,7,m1,1.881467529517289e-14,39
train,7,m1,6.857691226946211e-14,40
test,7,m1,7.49367372862027e-24,41
test,7,m1,6.944311135588232e-20,42
test,7,m1,4.12391357609455e-17,43
test,7,m1,1.7464491747500525e-19,44
test,7,m1,2.6495660428702445e-17,45
test,7,m1,3.959648658613258e-18,46
test,7,m1,1.1899078185446943e-14,47
test,7,m1,7.745194492565948e-17,48
test,7,m1,3.380106482714212e-17,49
test,7,m1,5.948448220166526e-16,50
test,7,m1,1.0378965190767247e-17,51
test,7,m1,2.63024482429668e-15,52
test,7,m1,1.4822641540828546e-13,53
test,7,m1,2.287127447473487e-15,54
test,7,m1,1.1831663256691447e-15,55
test,7,m1,4.4267937644891704e-16,56
test,7,m1,9.116930072279703e-16,57
test,7,m1,6.163719790826635e-17,58
test,7,m1,6.602259187866728e-16,59
test,7,m1,1.5483611503944e-14,60
test,7,m1,5.601977215441423e-13,61
test,7,m1,4.11383438165408e-14,62
test,7,m1,6.086229068467952e-13,63
test,7,m1,1.9946296066111584e-15,64
train,8,m1,6.443829634315019e-31,1
train,8,m1,3.31614405360843e-22,2
train,8,m1,6.462899450783186e-21,3
train,8,m1,6.058115709973521e-21,4
train,8,m1,2.5394165218330907e-17,5
train,8,m1,4.592887417500906e-14,6
train,8,m1,5.460381495916988e-13,7
train,8,m1,1.19706783548168e-12,8
train,8,m1,2.536150543047677e-12,9
train,8,m1,5.345729935102295e-12,10
train,8,m1,1.7084957360397881e-15,11
train,8,m1,5.685931326465665e-13,12
train,8,m1,3.572930796710838e-13,13
train,8,m1,1.0980064080179375e-11,14
train,8,m1,1.0954586196487703e-11,15
train,8,m1,1.348675809703312e-13,16
train,8,m1,8.663514241939729e-13,17
train,8,m1,5.054869825667219e-13,18
train,8,m1,1.2114883748970406e-12,19
train,8,m1,2.787963653341774e-12,20
train,8,m1,2.5976518435192816e-14,21
train,8,m1,7.237075522192882e-12,22
train,8,m1,2.3167505240617725e-12,23
train,8,m1,2.334320345527552e-13,24
train,8,m1,2.2496248096239187e-14,25
train,8,m1,1.0585539606325356e-12,26
train,8,m1,6.67174215179811e-13,27
train,8,m1,1.505916186470677e-16,28
train,8,m1,1.8249288798871666e-12,29
train,8,m1,5.3555564930724e-13,30
train,8,m1,2.9575201439073755e-15,31
train,8,m1,2.762079234493002e-14,32
train,8,m1,5.901780258076028e-13,33
train,8,m1,6.197739804009172e-13,34
train,8,m1,4.222400373272853e-15,35
train,8,m1,2.723093560537404e-13,36
train,8,m1,1.0709840539370116e-13,37
train,8,m1,4.3971428467749415e-14,38
train,8,m1,1.4473780518293317e-13,39
train,8,m1,1.0780073970257601e-14,40
test,8,m1,2.3528616685154916e-28,41
test,8,m1,4.0096111018958133e-22,42
test,8,m1,2.0201479883013054e-19,43
test,8,m1,5.002521330818979e-17,44
test,8,m1,1.4864577981194082e-21,45
test,8,m1,1.2669884083444097e-18,46
test,8,m1,9.732632895334035e-17,47
test,8,m1,1.1057576389807993e-16,48
test,8,m1,2.9425921278891944e-17,49
test,8,m1,4.301482651481185e-16,50
test,8,m1,1.0945026225197088e-15,51
test,8,m1,9.791704178982162e-18,52
test,8,m1,5.5196033799055546e-15,53
test,8,m1,9.259549774169238e-17,54
test,8,m1,8.028885678936114e-17,55
test,8,m1,2.6942303217895352e-17,56
test,8,m1,6.843234767404656e-16,57
test,8,m1,4.915795943455327e-16,58
test,8,m1,8.03506504898413e-17,59
test,8,m1,1.6493080118311934e-16,60
test,8,m1,1.9887021693079463e-17,61
test,8,m1,3.634910179518532e-15,62
test,8,m1,1.8783131364700665e-15,63
test,8,m1,2.160506398012573e-15,64
train,9,m1,5.123836464923551e-32,1
train,9,m1,5.639765237765706e-20,2
train,9,m1,2.046315103809339e-20,3
train,9,m1,7.340860668216147e-18,4
train,9,m1,3.892088268492683e-18,5
train,9,m1,3.930253258260796e-12,6
train,9,m1,2.02890304781635e-16,7
train,9,m1,2.5907772021466213e-12,8
train,9,m1,6.621713160431808e-12,9
train,9,m1,2.1293917150388975e-12,10
train,9,m1,8.008165311435e-12,11
train,9,m1,2.88951038626467e-15,12
train,9,m1,4.528962349191392e-15,13
train,9,m1,3.0903556623440576e-13,14
train,9,m1,2.0008320087555598e-12,15
train,9,m1,5.041670206318294e-14,16
train,9,m1,2.7604771224952473e-13,17
train,9,m1,1.255964082735872e-12,18
train,9,m1,3.41993740184815e-13,19
train,9,m1,1.1277308297266697e-12,20
train,9,m1,1.812513457193337e-14,21
train,9,m1,1.1736620789820629e-12,22
train,9,m1,1.8030445182276285e-15,23
train,9,m1,1.195400657801049e-12,24
train,9,m1,3.9551241242611473e-14,25
train,9,m1,1.0778774791123102e-12,26
train,9,m1,6.016647819068535e-14,27
train,9,m1,2.9041324195715895e-14,28
train,9,m1,3.741626691637634e-13,29
train,9,m1,3.767389435897599e-14,30
train,9,m1,5.483056449330373e-15,31
train,9,m1,2.998200510561863e-14,32
train,9,m1,7.086627291930103e-14,33
