blockcollect,ID,condition,p,trialcollect
train,2,m1,8.673440903523912e-33,1
train,2,m1,4.053616363274585e-21,2
train,2,m1,1.553336664278219e-15,3
train,2,m1,2.86179808873869e-17,4
train,2,m1,1.2659291208519743e-17,5
train,2,m1,1.387177726202074e-14,6
train,2,m1,6.707011519519607e-14,7
train,2,m1,2.896195043229459e-14,8
train,2,m1,1.462545362596046e-13,9
train,2,m1,1.6687062362875753e-14,10
train,2,m1,2.049621018425981e-14,11
train,2,m1,5.268464860838453e-17,12
train,2,m1,8.77789323432826e-14,13
train,2,m1,1.105998539280284e-12,14
train,2,m1,5.719635377300636e-14,15
train,2,m1,2.1394917355843204e-17,16
train,2,m1,1.1027723534145183e-14,17
train,2,m1,2.0753508300449565e-14,18
train,2,m1,3.214374499536064e-14,19
train,2,m1,3.369514004836552e-14,20
train,2,m1,1.0418169746771443e-16,21
train,2,m1,2.1939703404179854e-15,22
train,2,m1,5.459949983452339e-13,23
train,2,m1,3.920803026864761e-14,24
train,2,m1,5.653329500546715e-17,25
train,2,m1,6.143488631227614e-14,26
train,2,m1,9.735605334057484e-13,27
train,2,m1,4.406467324271496e-13,28
train,2,m1,1.2631384924566974e-13,29
train,2,m1,2.2581329167659092e-13,30
train,2,m1,8.372306212027503e-13,31
train,2,m1,3.8000998154414864e-15,32
train,2,m1,1.6562578674002293e-13,33
train,2,m1,1.4175140011438159e-12,34
train,2,m1,1.8194222170531127e-12,35
train,2,m1,1.1218214942057547e-12,36
train,2,m1,4.444614706659855e-13,37
train,2,m1,4.053480207738547e-12,38
train,2,m1,4.4736060017015744e-13,39
train,2,m1,6.070400847538648e-16,40
test,2,m1,4.598455105807939e-26,41
test,2,m1,3.910215369133966e-15,42
test,2,m1,1.0428078417597762e-14,43
test,2,m1,4.239252993730984e-17,44
test,2,m1,2.0956042456887758e-10,45
test,2,m1,3.4814137683802926e-11,46
test,2,m1,2.917641172064944e-13,47
test,2,m1,4.053746487792109e-12,48
test,2,m1,1.3379202259966583e-11,49
test,2,m1,1.064886512303076e-10,50
test,2,m1,1.1916394260236274e-10,51
test,2,m1,2.9908076015772167e-10,52
test,2,m1,1.0567816153411735e-12,53
test,2,m1,1.5521332049489578e-12,54
test,2,m1,1.9443133214558372e-10,55
test,2,m1,2.4054007483759188e-12,56
test,2,m1,5.6640414580755305e-11,57
test,2,m1,3.954200855638135e-11,58
test,2,m1,3.234435289045656e-11,59
test,2,m1,1.5774546946456525e-10,60
test,2,m1,6.531365032147463e-11,61
test,2,m1,7.243083216534885e-11,62
test,2,m1,1.0564096819543067e-10,63
test,2,m1,1.529795595756056e-10,64
train,3,m1,9.318404678714156e-32,1
train,3,m1,1.3705060725299184e-28,2
train,3,m1,1.0287705862839526e-20,3
train,3,m1,2.128901608223089e-14,4
train,3,m1,3.205970462261686e-20,5
train,3,m1,3.0097150635428205e-18,6
train,3,m1,3.01509522643989e-13,7
train,3,m1,6.987136834824687e-14,8
train,3,m1,2.6294242611290273e-15,9
train,3,m1,7.506083576652061e-16,10
train,3,m1,3.165633174432442e-14,11
train,3,m1,1.7607957853680049e-15,12
train,3,m1,2.0927465150893075e-14,13
train,3,m1,1.961034400568701e-16,14
train,3,m1,6.830311162211924e-16,15
train,3,m1,1.5288474425247806e-13,16
train,3,m1,3.161420032552799e-14,17
train,3,m1,7.152585069906438e-15,18
train,3,m1,2.142028010044053e-13,19
train,3,m1,8.803002509610077e-15,20
train,3,m1,1.6073248417999841e-12,21
train,3,m1,2.119740184568881e-15,22
train,3,m1,6.70837124033401e-16,23
train,3,m1,6.173983172581485e-14,24
train,3,m1,3.152789173396092e-13,25
train,3,m1,1.0177598239007046e-13,26
train,3,m1,1.7441543408115365e-14,27
train,3,m1,4.1362917323033155e-13,28
train,3,m1,4.277998175974615e-14,29
train,3,m1,7.00408648952437e-18,30
train,3,m1,6.961325877449364e-15,31
train,3,m1,2.085995222042558e-12,32
train,3,m1,1.5433919469060378e-14,33
train,3,m1,1.476753696541197e-13,34
train,3,m1,1.0772964145104938e-13,35
train,3,m1,6.913022671667379e-13,36
train,3,m1,8.222505250461698e-14,37
train,3,m1,1.1239030539567096e-12,38
train,3,m1,4.864261866021312e-14,39
train,3,m1,9.864108228146984e-13,40
test,3,m1,7.640346321183651e-23,41
test,3,m1,4.928785044808961e-18,42
test,3,m1,1.1613266399153766e-14,43
test,3,m1,1.6547615328769277e-14,44
test,3,m1,2.4337543699098907e-12,45
test,3,m1,4.868517481521062e-12,46
test,3,m1,7.494313329636793e-12,47
test,3,m1,5.773031792194461e-12,48
test,3,m1,1.474839694814989e-10,49
test,3,m1,1.9873925422020378e-11,50
test,3,m1,1.229098311843202e-12,51
test,3,m1,6.583219646499883e-12,52
test,3,m1,1.2273740357393592e-10,53
test,3,m1,8.357363335345658e-16,54
test,3,m1,1.2630508618161063e-11,55
test,3,m1,4.4467481780108287e-11,56
test,3,m1,3.015797334082748e-11,57
test,3,m1,9.37052193651644e-13,58
test,3,m1,6.461814416880429e-11,59
test,3,m1,1.7855475778483232e-11,60
test,3,m1,9.452752816607735e-12,61
test,3,m1,1.0550183643376343e-10,62
test,3,m1,1.0985406161123645e-11,63
test,3,m1,8.539796647610842e-11,64
train,4,m1,3.5584292273402897e-31,1
train,4,m1,1.3814663438684988e-22,2
train,4,m1,2.760440463637209e-18,3
train,4,m1,2.4860424942847595e-16,4
train,4,m1,1.996075988160489e-17,5
train,4,m1,1.4233774579721758e-15,6
train,4,m1,1.6601408019557146e-13,7
train,4,m1,7.697318734549256e-15,8
train,4,m1,2.0596434087194254e-15,9
train,4,m1,5.808410935385921e-13,10
train,4,m1,2.0522837511989696e-14,11
train,4,m1,2.3593022609354197e-13,12
train,4,m1,5.245772620541406e-14,13
train,4,m1,5.132129530377449e-13,14
train,4,m1,4.530317601906999e-16,15
train,4,m1,4.511782932834299e-16,16
train,4,m1,5.303863241206937e-15,17
train,4,m1,3.2175648321912387e-13,18
train,4,m1,8.177880031143281e-13,19
train,4,m1,3.906633263411896e-12,20
train,4,m1,6.252179899019286e-14,21
train,4,m1,1.2375487462058798e-13,22
train,4,m1,9.445662839131092e-14,23
train,4,m1,5.466391770660162e-13,24
train,4,m1,5.547046400363647e-15,25
train,4,m1,1.289475904525661e-12,26
train,4,m1,9.487047769114594e-18,27
train,4,m1,1.046533953247275e-12,28
train,4,m1,4.718541028281113e-14,29
train,4,m1,1.5406899118042966e-14,30
train,4,m1,2.1683436296493497e-12,31
train,4,m1,1.603331291517851e-12,32
train,4,m1,4.299725723036496e-13,33
train,4,m1,1.665952749016486e-12,34
train,4,m1,2.3811481215593733e-13,35
train,4,m1,1.0547263068353199e-13,36
train,4,m1,5.970121857816479e-13,37
train,4,m1,5.686218097940288e-13,38
train,4,m1,1.349071001395183e-13,39
train,4,m1,3.6528922248146856e-12,40
test,4,m1,1.7990269555265537e-23,41
test,4,m1,1.9550701186557724e-14,42
test,4,m1,1.5932706542987063e-11,43
test,4,m1,5.498058063511946e-13,44
test,4,m1,5.401641373775634e-12,45
test,4,m1,2.926626441190905e-10,46
test,4,m1,4.771921247904987e-13,47
test,4,m1,1.231023338821302e-10,48
test,4,m1,9.401305688799821e-13,49
test,4,m1,3.403788917388795e-10,50
test,4,m1,9.291506453124043e-11,51
test,4,m1,1.8005726076797401e-10,52
test,4,m1,2.751016602020595e-11,53
test,4,m1,2.8428377273764793e-13,54
test,4,m1,1.6392268098464058e-10,55
test,4,m1,8.312006681901463e-13,56
test,4,m1,3.14219927854964e-10,57
test,4,m1,5.2035917241788354e-11,58
test,4,m1,2.8483684855196145e-10,59
test,4,m1,7.823014458452349e-10,60
test,4,m1,1.2613324826878797e-13,61
test,4,m1,1.1300205216002723e-09,62
test,4,m1,6.684181680371992e-11,63
test,4,m1,1.6734896454706494e-11,64
train,7,m1,5.547689752724122e-33,1
train,7,m1,1.0108093569074188e-21,2
train,7,m1,2.4025151312834225e-10,3
train,7,m1,2.596693638931231e-24,4
train,7,m1,2.493721910620213e-20,5
train,7,m1,1.8297344840439642e-14,6
train,7,m1,8.019523088133307e-13,7
train,7,m1,7.48052607271038e-14,8
train,7,m1,1.3592126556216666e-12,9
train,7,m1,9.571752221892882e-17,10
train,7,m1,4.3732064410745286e-13,11
train,7,m1,4.962444165442989e-16,12
train,7,m1,6.456256970016616e-13,13
train,7,m1,1.6041962070246878e-14,14
train,7,m1,6.837665335194046e-14,15
train,7,m1,5.0756250466682876e-14,16
train,7,m1,1.3170997046845867e-15,17
train,7,m1,5.576736281593449e-16,18
train,7,m1,2.087358281013807e-12,19
train,7,m1,9.018890032041517e-15,20
train,7,m1,2.256622623139637e-12,21
train,7,m1,3.89215461076009e-13,22
train,7,m1,7.563035484339786e-13,23
train,7,m1,4.907876188786631e-12,24
train,7,m1,6.59412108250379e-12,25
train,7,m1,1.0524139068893157e-13,26
train,7,m1,3.6235012386420795e-13,27
train,7,m1,9.402448437889621e-13,28
train,7,m1,2.368615015495984e-13,29
train,7,m1,4.660617527216075e-14,30
train,7,m1,1.1224986868826892e-12,31
train,7,m1,2.706441624630851e-12,32
train,7,m1,6.477796272476299e-13,33
train,7,m1,1.571077035827928e-12,34
train,7,m1,2.5064950115449847e-12,35
train,7,m1,3.5547554483317256e-12,36
train,7,m1,3.8075459126742095e-13,37
train,7,m1,1.5828537482456828e-12,38
train,7,m1,1.7808352719989734e-13,39
train,7,m1,7.931182837220274e-13,40
test,7,m1,5.77865974952494e-24,41
test,7,m1,3.0473037304922e-16,42
test,7,m1,3.715112798560044e-13,43
test,7,m1,1.7842224551110897e-13,44
test,7,m1,1.5507349571119988e-10,45
test,7,m1,2.9682101761577576e-16,46
test,7,m1,1.0390283468678096e-12,47
test,7,m1,1.0879549214651285e-12,48
test,7,m1,8.494643183309947e-11,49
test,7,m1,3.346885268928901e-11,50
test,7,m1,1.134661822507245e-13,51
test,7,m1,2.4275347357272103e-11,52
test,7,m1,1.1266553662236944e-10,53
test,7,m1,7.579362693022063e-10,54
test,7,m1,1.1463367581565631e-11,55
test,7,m1,4.4990325354099525e-10,56
test,7,m1,5.411288171025541e-12,57
test,7,m1,1.0934078295554706e-11,58
test,7,m1,2.274044064165537e-09,59
test,7,m1,1.4273186582300368e-12,60
test,7,m1,2.1803764349570542e-10,61
test,7,m1,4.2738788202933975e-11,62
test,7,m1,7.750216267365939e-12,63
test,7,m1,3.792147151848724e-10,64
train,8,m1,4.581975593117518e-33,1
train,8,m1,5.048932252189748e-23,2
train,8,m1,7.069146726243503e-18,3
train,8,m1,9.230660320669822e-20,4
train,8,m1,1.1826292644289381e-14,5
train,8,m1,1.558280414426516e-13,6
train,8,m1,2.9048445506635323e-12,7
train,8,m1,9.53914020934395e-15,8
train,8,m1,9.119828373385652e-13,9
train,8,m1,7.027529057811177e-13,10
train,8,m1,3.400669779151974e-19,11
train,8,m1,6.312976535841411e-14,12
train,8,m1,8.923273903636841e-14,13
train,8,m1,8.104621303500065e-14,14
train,8,m1,3.6484136024805824e-12,15
train,8,m1,3.783654501363955e-14,16
train,8,m1,1.509741550526078e-12,17
train,8,m1,5.15469936700208e-13,18
train,8,m1,4.527943029742666e-14,19
train,8,m1,1.480312183596566e-12,20
train,8,m1,4.366655351676401e-17,21
train,8,m1,4.03430847756292e-12,22
train,8,m1,1.1746952152322243e-12,23
train,8,m1,2.568586619441926e-13,24
train,8,m1,9.711829898498368e-15,25
train,8,m1,1.0786669951343142e-12,26
train,8,m1,7.633043502819348e-13,27
train,8,m1,2.2463422181401294e-14,28
train,8,m1,9.890892358616066e-13,29
train,8,m1,6.748022821946587e-13,30
train,8,m1,1.2922032150905483e-12,31
train,8,m1,2.9037736164151326e-14,32
train,8,m1,2.8222819047074577e-12,33
train,8,m1,2.0323948687200888e-12,34
train,8,m1,3.355343889017981e-13,35
train,8,m1,1.3053257476650093e-12,36
train,8,m1,7.160292324337458e-13,37
train,8,m1,7.312047153743353e-14,38
train,8,m1,1.2623428235873646e-13,39
train,8,m1,9.031967204307587e-14,40
test,8,m1,1.2084035583763829e-28,41
test,8,m1,2.2871996301488705e-20,42
test,8,m1,3.2151049807497764e-14,43
test,8,m1,8.206532784056642e-13,44
test,8,m1,1.961111022308842e-18,45
test,8,m1,8.288835590120058e-11,46
test,8,m1,1.6153706150490166e-10,47
test,8,m1,1.291659695867864e-10,48
test,8,m1,5.8284815674183605e-15,49
test,8,m1,1.6631206134487542e-10,50
test,8,m1,1.2381323744037331e-10,51
test,8,m1,5.824821961569748e-13,52
test,8,m1,2.9981936378042917e-10,53
test,8,m1,5.216860363838061e-12,54
test,8,m1,3.610606605364275e-11,55
test,8,m1,6.513597994306508e-11,56
test,8,m1,3.494449868357563e-11,57
test,8,m1,9.83345488370091e-11,58
test,8,m1,2.4700866352311834e-10,59
test,8,m1,4.637083685782306e-12,60
test,8,m1,6.815443209795546e-10,61
test,8,m1,2.4937438225514086e-10,62
test,8,m1,1.4850005947142364e-10,63
test,8,m1,2.7866825513811477e-10,64
train,9,m1,1.605350741335714e-32,1
train,9,m1,3.5303597050814066e-18,2
train,9,m1,6.786825123493056e-19,3
train,9,m1,3.2731401842847336e-16,4
train,9,m1,2.945865665120173e-13,5
train,9,m1,3.255031403377913e-14,6
train,9,m1,8.118476618464997e-18,7
train,9,m1,2.6226273214767504e-13,8
train,9,m1,2.0482500244500823e-12,9
train,9,m1,1.3995061620003524e-12,10
train,9,m1,1.0318579758000768e-12,11
train,9,m1,5.043871560244913e-16,12
train,9,m1,3.478387120014087e-18,13
