blockcollect,ID,condition,p,trialcollect
train,2,m1,1.0871939423354112e-30,1
train,2,m1,1.8709646014232872e-23,2
train,2,m1,1.0517396347819834e-16,3
train,2,m1,1.1579039650639792e-18,4
train,2,m1,3.028335354080726e-17,5
train,2,m1,6.536019199688192e-15,6
train,2,m1,3.462859746129407e-14,7
train,2,m1,1.8010891172579035e-12,8
train,2,m1,3.5455030567271145e-14,9
train,2,m1,1.3138752238961438e-13,10
train,2,m1,4.7309235522152715e-12,11
train,2,m1,5.247274240550298e-15,12
train,2,m1,7.286658798046075e-13,13
train,2,m1,2.8593812972758925e-14,14
train,2,m1,2.4312991466564522e-14,15
train,2,m1,4.171643702677828e-14,16
train,2,m1,3.7758916138089585e-14,17
train,2,m1,3.1767758996298356e-12,18
train,2,m1,4.9129077542287014e-12,19
train,2,m1,3.798291976081503e-12,20
train,2,m1,3.0092497504269344e-13,21
train,2,m1,1.3929164591230166e-15,22
train,2,m1,1.0006337663841236e-13,23
train,2,m1,6.4370778672662166e-12,24
train,2,m1,6.428608730416063e-14,25
train,2,m1,1.030273262536685e-11,26
train,2,m1,8.437289088962865e-14,27
train,2,m1,3.755939244516615e-14,28
train,2,m1,2.515454858298405e-12,29
train,2,m1,4.512092088848618e-12,30
train,2,m1,7.258825701975113e-13,31
train,2,m1,1.9637531618182935e-12,32
train,2,m1,3.706246681084435e-12,33
train,2,m1,1.0445092056901584e-12,34
train,2,m1,9.883360406123809e-13,35
train,2,m1,2.9402671703621097e-12,36
train,2,m1,5.078645650861491e-15,37
train,2,m1,1.9420475969554596e-13,38
train,2,m1,1.0957684412615798e-11,39
train,2,m1,1.9755071602005347e-14,40
test,2,m1,1.4328550268762052e-32,41
test,2,m1,1.784700802144975e-16,42
test,2,m1,3.240843612099315e-16,43
test,2,m1,2.1719084888409366e-19,44
test,2,m1,6.930910381210131e-13,45
test,2,m1,1.2859887850782958e-12,46
test,2,m1,7.602642473902854e-15,47
test,2,m1,2.822167878826164e-15,48
test,2,m1,1.7458566059849745e-13,49
test,2,m1,3.996232327257293e-14,50
test,2,m1,2.1987474368339102e-14,51
test,2,m1,4.956934385527689e-14,52
test,2,m1,9.037045336232966e-15,53
test,2,m1,2.0810711823509437e-13,54
test,2,m1,3.767701144022188e-14,55
test,2,m1,1.3149071133138068e-13,56
test,2,m1,4.825273955898733e-15,57
test,2,m1,1.1051856180438815e-13,58
test,2,m1,1.5895686256519638e-14,59
test,2,m1,8.942460893958046e-14,60
test,2,m1,1.9574146719724544e-13,61
test,2,m1,4.419637500755174e-15,62
test,2,m1,2.315861803540986e-13,63
test,2,m1,4.455636570420071e-14,64
train,3,m1,4.1262784243129175e-29,1
train,3,m1,3.1291829343873055e-25,2
train,3,m1,1.3573059652953447e-20,3
train,3,m1,5.578445691489797e-13,4
train,3,m1,3.0720476804638663e-16,5
train,3,m1,1.8907818849701235e-15,6
train,3,m1,1.3382709755638527e-14,7
train,3,m1,1.1436361840172493e-12,8
train,3,m1,2.424796474720381e-13,9
train,3,m1,1.2424242874379125e-17,10
train,3,m1,1.5000597064409454e-13,11
train,3,m1,7.605395263218795e-13,12
train,3,m1,1.6998497065229962e-13,13
train,3,m1,5.463344620454391e-13,14
train,3,m1,9.143123541263676e-13,15
train,3,m1,1.610167348845698e-13,16
train,3,m1,5.406033693616807e-13,17
train,3,m1,3.3266130566075424e-15,18
train,3,m1,6.606448718702966e-15,19
train,3,m1,1.8077982958265154e-13,20
train,3,m1,4.4587575818988423e-13,21
train,3,m1,3.1724305799528396e-13,22
train,3,m1,2.223592437836184e-14,23
train,3,m1,1.2274748275101222e-12,24
train,3,m1,8.851009372445135e-16,25
train,3,m1,2.5601436660742383e-13,26
train,3,m1,2.790314230756777e-14,27
train,3,m1,2.7079728027014707e-14,28
train,3,m1,3.6286223098439284e-17,29
train,3,m1,6.318653498884675e-16,30
train,3,m1,6.857332762602933e-14,31
train,3,m1,5.899602638012591e-13,32
train,3,m1,1.341560326370561e-13,33
train,3,m1,4.544400066756188e-13,34
train,3,m1,1.0961380186771258e-13,35
train,3,m1,5.250655053974651e-13,36
train,3,m1,8.965733971216805e-14,37
train,3,m1,2.77174811558591e-14,38
train,3,m1,6.692850023320065e-17,39
train,3,m1,3.237371308528747e-13,40
test,3,m1,4.113303675018824e-29,41
test,3,m1,9.546954799864493e-20,42
test,3,m1,2.7121476163402504e-15,43
test,3,m1,6.688756604253561e-15,44
test,3,m1,2.998260390497278e-17,45
test,3,m1,1.6638162303797815e-15,46
test,3,m1,2.4529044160420677e-13,47
test,3,m1,8.875739769889646e-14,48
test,3,m1,8.344426495263124e-13,49
test,3,m1,2.2294965962917253e-15,50
test,3,m1,3.1888841610719365e-13,51
test,3,m1,1.648598690559295e-14,52
test,3,m1,8.142253147755407e-13,53
test,3,m1,3.018602033550149e-19,54
test,3,m1,9.517852407906965e-14,55
test,3,m1,1.136721250981354e-12,56
test,3,m1,1.968680752272023e-13,57
test,3,m1,1.6226190042208793e-13,58
test,3,m1,2.814638984122847e-13,59
test,3,m1,7.174250885207123e-13,60
test,3,m1,7.49750955764128e-13,61
test,3,m1,2.1705540468285045e-13,62
test,3,m1,8.191907438850898e-13,63
test,3,m1,4.0072982367307663e-13,64
train,4,m1,5.205309564605032e-28,1
train,4,m1,4.466927576873719e-21,2
train,4,m1,3.1080295635490223e-19,3
train,4,m1,7.566433509473627e-15,4
train,4,m1,4.0468507832511495e-17,5
train,4,m1,1.575135692450519e-13,6
train,4,m1,3.3822879393075045e-12,7
train,4,m1,2.43568484608811e-13,8
train,4,m1,4.5063189291205674e-12,9
train,4,m1,1.2057767111162132e-11,10
train,4,m1,1.8120184172576437e-11,11
train,4,m1,2.1136855286874034e-12,12
train,4,m1,2.3738557994312792e-11,13
train,4,m1,1.5398280523923336e-12,14
train,4,m1,2.643784496880741e-12,15
train,4,m1,3.121149915718402e-16,16
train,4,m1,2.7109438825723142e-12,17
train,4,m1,3.730355461377746e-14,18
train,4,m1,5.498791526281632e-13,19
train,4,m1,3.0823095269714995e-13,20
train,4,m1,2.0709092264387802e-13,21
train,4,m1,4.598986054721137e-14,22
train,4,m1,1.1806134954210623e-13,23
train,4,m1,3.2342040829323737e-13,24
train,4,m1,1.788683811525596e-13,25
train,4,m1,5.845127035381328e-14,26
train,4,m1,2.594364878814312e-19,27
train,4,m1,1.980650344256263e-14,28
train,4,m1,3.345320372170717e-14,29
train,4,m1,4.4012609489109245e-17,30
train,4,m1,1.497959606832841e-13,31
train,4,m1,3.742821414669077e-14,32
train,4,m1,6.368673864914475e-15,33
train,4,m1,5.931695157843433e-14,34
train,4,m1,2.069405675194768e-14,35
train,4,m1,1.0563806977065791e-14,36
train,4,m1,1.3772440626098545e-14,37
train,4,m1,2.556076501852725e-15,38
train,4,m1,1.4182531627511714e-14,39
train,4,m1,4.197586627786333e-14,40
test,4,m1,1.7964734098080138e-30,41
test,4,m1,9.351781603608982e-16,42
test,4,m1,4.0307502089361724e-18,43
test,4,m1,5.946788780052459e-18,44
test,4,m1,4.132309459311963e-17,45
test,4,m1,1.2251501489745145e-15,46
test,4,m1,2.1339903227663527e-17,47
test,4,m1,8.313316669176368e-15,48
test,4,m1,3.3643483744077215e-15,49
test,4,m1,1.0631958400968925e-14,50
test,4,m1,5.566378318022126e-14,51
test,4,m1,1.775371028574918e-13,52
test,4,m1,6.630887652110326e-14,53
test,4,m1,2.2815539177409945e-16,54
test,4,m1,3.281410719860843e-14,55
test,4,m1,1.733386519172861e-14,56
test,4,m1,4.744724934263112e-15,57
test,4,m1,2.71926392129496e-14,58
test,4,m1,1.6058934238817602e-13,59
test,4,m1,9.300978769718332e-14,60
test,4,m1,4.909428373274342e-16,61
test,4,m1,8.656608958303169e-14,62
test,4,m1,1.1993741232379368e-13,63
test,4,m1,1.6525756796532433e-14,64
train,7,m1,4.5433063546287157e-29,1
train,7,m1,3.593990547852654e-20,2
train,7,m1,3.914898613621709e-11,3
train,7,m1,7.747223690685632e-20,4
train,7,m1,8.409647502806113e-18,5
train,7,m1,3.5084115517294845e-13,6
train,7,m1,1.992395912966613e-13,7
train,7,m1,2.239174774418262e-12,8
train,7,m1,1.518157344629345e-12,9
train,7,m1,1.9207645219623207e-15,10
train,7,m1,5.16602982180564e-13,11
train,7,m1,3.2799519936003996e-13,12
train,7,m1,3.1220423381966844e-12,13
train,7,m1,1.5020134387557643e-13,14
train,7,m1,7.470209346938095e-12,15
train,7,m1,3.6464039253336633e-13,16
train,7,m1,1.3680869588236777e-13,17
train,7,m1,6.233279544647433e-14,18
train,7,m1,2.9192958814205916e-12,19
train,7,m1,3.016481378917413e-13,20
train,7,m1,1.0777602768574646e-12,21
train,7,m1,1.1487340213171132e-13,22
train,7,m1,6.58573889866787e-13,23
train,7,m1,4.567175197062179e-12,24
train,7,m1,2.3977892154442015e-12,25
train,7,m1,2.4745816832281997e-13,26
train,7,m1,5.001258955583676e-12,27
train,7,m1,5.607701802912146e-13,28
train,7,m1,8.726908085066043e-13,29
train,7,m1,9.093410161149784e-13,30
train,7,m1,2.016574407459615e-12,31
train,7,m1,2.0440817278827988e-13,32
train,7,m1,6.077358668393762e-12,33
train,7,m1,2.4756707643104614e-13,34
train,7,m1,7.737345378115712e-13,35
train,7,m1,3.3376694962526654e-13,36
train,7,m1,1.6849744256114407e-12,37
train,7,m1,1.005394986014485e-12,38
train,7,m1,1.8301306921753718e-13,39
train,7,m1,8.836398138808294e-14,40
test,7,m1,2.0363001746752074e-27,41
test,7,m1,5.221573894428231e-18,42
test,7,m1,3.792526917376559e-15,43
test,7,m1,2.5611031129990874e-16,44
test,7,m1,9.076743398778522e-14,45
