blockcollect,ID,condition,p,trialcollect
train,2,m1,1.853825855591766e-33,1
train,2,m1,3.2731113756842617e-23,2
train,2,m1,6.887295126928601e-20,3
train,2,m1,5.001494324049949e-19,4
train,2,m1,3.6507738757758534e-17,5
train,2,m1,5.144388960095581e-16,6
train,2,m1,8.037790509840819e-16,7
train,2,m1,9.603050539280181e-15,8
train,2,m1,1.0106681930157485e-14,9
train,2,m1,6.025960734565359e-16,10
train,2,m1,1.0436206545759615e-14,11
train,2,m1,1.1868421521986968e-14,12
train,2,m1,5.810683965240537e-14,13
train,2,m1,7.346166318485114e-14,14
train,2,m1,2.981501764226513e-14,15
train,2,m1,5.954441041795822e-14,16
train,2,m1,1.9972377904623438e-14,17
train,2,m1,4.7570132647454036e-15,18
train,2,m1,4.9058870979284616e-14,19
train,2,m1,2.0806879422939585e-15,20
train,2,m1,6.010652096351396e-15,21
train,2,m1,6.773110582591543e-14,22
train,2,m1,4.047170855826093e-14,23
train,2,m1,3.988766663563488e-15,24
train,2,m1,2.3694465985622803e-14,25
train,2,m1,8.42992091876129e-15,26
train,2,m1,4.215528140861895e-14,27
train,2,m1,3.8512487469943846e-15,28
train,2,m1,6.489055881444151e-15,29
train,2,m1,1.2647510568410212e-15,30
train,2,m1,5.422234994442894e-14,31
train,2,m1,6.333355873266641e-16,32
train,2,m1,3.166804790405084e-14,33
train,2,m1,1.5106385380884296e-14,34
train,2,m1,1.41631472785138e-14,35
train,2,m1,3.8059121555255454e-15,36
train,2,m1,9.221154723582266e-15,37
train,2,m1,1.2659019205064556e-14,38
train,2,m1,2.63476983311959e-16,39
train,2,m1,2.3447415697545404e-15,40
test,2,m1,1.0180600501127036e-26,41
test,2,m1,2.2843889313653425e-23,42
test,2,m1,7.475430334110903e-25,43
test,2,m1,2.0411759514286852e-22,44
test,2,m1,1.398580662274607e-20,45
test,2,m1,1.6101962324045016e-17,46
test,2,m1,1.9951575372146287e-20,47
test,2,m1,3.9574753578760486e-20,48
test,2,m1,2.6979684750547543e-19,49
test,2,m1,4.5099975627437765e-18,50
test,2,m1,5.5362768264255615e-18,51
test,2,m1,5.526996997326059e-19,52
test,2,m1,3.7268695290470567e-17,53
test,2,m1,3.5368646534185236e-18,54
test,2,m1,2.4663560940823166e-19,55
test,2,m1,1.8404298790716936e-16,56
test,2,m1,5.200316097148169e-17,57
test,2,m1,1.3652187944220726e-18,58
test,2,m1,4.255079109518716e-18,59
test,2,m1,1.024692919864088e-15,60
test,2,m1,1.2211188280109557e-16,61
test,2,m1,7.820023339408541e-19,62
test,2,m1,6.787360768434618e-16,63
test,2,m1,8.150648981209635e-19,64
train,3,m1,2.788150123043065e-29,1
train,3,m1,1.4799338237699218e-23,2
train,3,m1,2.8558569682751773e-23,3
train,3,m1,6.723947713012874e-18,4
train,3,m1,4.231614645103486e-20,5
train,3,m1,2.810566988372463e-18,6
train,3,m1,2.1040172523247348e-19,7
train,3,m1,6.230749958174563e-18,8
train,3,m1,4.9991106997173006e-17,9
train,3,m1,1.6697040813004186e-18,10
train,3,m1,2.7653770775329256e-18,11
train,3,m1,2.927630209046427e-18,12
train,3,m1,1.3917816732017123e-16,13
train,3,m1,4.223044885936375e-18,14
train,3,m1,5.490283757952821e-15,15
train,3,m1,2.0273536361654373e-19,16
train,3,m1,3.1870470772377043e-18,17
train,3,m1,2.894464576094042e-16,18
train,3,m1,6.043819961037073e-18,19
train,3,m1,9.494689614337939e-15,20
train,3,m1,5.0879672682983594e-18,21
train,3,m1,3.3899128122736046e-19,22
train,3,m1,1.5133676279519017e-17,23
train,3,m1,1.925437576262543e-16,24
train,3,m1,9.682302925527124e-18,25
train,3,m1,3.963794570561435e-17,26
train,3,m1,6.075438258355088e-15,27
train,3,m1,3.394594551143078e-18,28
train,3,m1,2.1132343362592577e-15,29
train,3,m1,1.7724635583373145e-16,30
train,3,m1,2.617516301379612e-16,31
train,3,m1,1.8285234413346053e-17,32
train,3,m1,3.2485763346934773e-15,33
train,3,m1,6.061542305661022e-18,34
train,3,m1,1.1870830589568078e-16,35
train,3,m1,5.8025877702207965e-15,36
train,3,m1,1.4672519858707593e-14,37
train,3,m1,6.56177512821152e-19,38
train,3,m1,9.542509402005662e-18,39
train,3,m1,1.160467397782281e-18,40
test,3,m1,3.9175875616718766e-21,41
test,3,m1,4.456829349493323e-21,42
test,3,m1,1.907310471485357e-19,43
test,3,m1,8.106506358573772e-20,44
test,3,m1,3.484769749018123e-20,45
test,3,m1,1.5575680653427034e-18,46
test,3,m1,4.666565068316895e-18,47
test,3,m1,2.4281857930172688e-18,48
test,3,m1,1.7704450380853623e-19,49
test,3,m1,4.122007203956072e-19,50
test,3,m1,4.532860834874742e-18,51
test,3,m1,3.2574275587110196e-20,52
test,3,m1,3.2174747092753142e-18,53
test,3,m1,6.550414190239016e-20,54
test,3,m1,2.10176688161889e-18,55
test,3,m1,1.2365154623188683e-19,56
test,3,m1,4.048814838312656e-20,57
test,3,m1,4.296656515828081e-18,58
test,3,m1,1.7251548315965527e-19,59
test,3,m1,1.7680158412708414e-18,60
test,3,m1,1.9226252035388934e-19,61
test,3,m1,2.4037297846168323e-18,62
test,3,m1,2.5757709443186737e-18,63
test,3,m1,1.934243162037354e-18,64
train,4,m1,2.515937420947568e-34,1
train,4,m1,3.1448944427449035e-21,2
train,4,m1,1.1258881462502674e-18,3
train,4,m1,1.6531897305635271e-18,4
train,4,m1,3.2969895136085054e-18,5
train,4,m1,8.865105059478631e-17,6
train,4,m1,1.0006222552063704e-15,7
train,4,m1,2.3261902776602504e-15,8
train,4,m1,4.410635658108229e-15,9
train,4,m1,3.526338089262539e-14,10
train,4,m1,7.273402461371002e-15,11
train,4,m1,5.1280092910714614e-14,12
train,4,m1,1.3687571312915453e-14,13
train,4,m1,2.517117136740469e-14,14
train,4,m1,9.550991894341932e-15,15
train,4,m1,8.524587015012325e-15,16
train,4,m1,1.793394229507913e-14,17
train,4,m1,5.2842119921273425e-14,18
train,4,m1,6.462462943251923e-14,19
train,4,m1,1.837353375997927e-15,20
train,4,m1,6.107366741785365e-15,21
train,4,m1,1.6854590868524313e-15,22
train,4,m1,5.491035753803393e-14,23
train,4,m1,9.524147556770959e-14,24
train,4,m1,8.346428034117486e-15,25
train,4,m1,1.612405142129708e-14,26
train,4,m1,1.0326881556702692e-18,27
train,4,m1,4.677362013330577e-14,28
train,4,m1,2.2347988107833004e-15,29
train,4,m1,3.309597805823539e-16,30
train,4,m1,5.657981458432595e-15,31
train,4,m1,1.1339571588577652e-13,32
train,4,m1,7.125939107451712e-14,33
train,4,m1,1.1188013507984745e-14,34
train,4,m1,3.275667836478459e-15,35
train,4,m1,2.0227290776033725e-14,36
train,4,m1,6.2720922036532244e-15,37
train,4,m1,6.06246383118552e-15,38
train,4,m1,6.066289879008268e-15,39
train,4,m1,1.2745513127440482e-14,40
test,4,m1,1.4499799863377747e-23,41
test,4,m1,2.371028439870467e-19,42
test,4,m1,1.030487648445725e-19,43
test,4,m1,1.147396687177153e-20,44
test,4,m1,3.4203591592725736e-18,45
test,4,m1,1.0671919476509027e-17,46
test,4,m1,7.30260325469284e-19,47
test,4,m1,4.247980410937908e-17,48
test,4,m1,7.457597359343306e-18,49
test,4,m1,4.063643873174956e-18,50
test,4,m1,6.37650463632857e-20,51
test,4,m1,6.398617908968013e-17,52
test,4,m1,9.754595202341808e-18,53
test,4,m1,1.8575144012689148e-16,54
test,4,m1,6.033737146357935e-20,55
test,4,m1,1.8573563105102437e-17,56
test,4,m1,1.662734145789664e-16,57
test,4,m1,2.7097176243983656e-17,58
test,4,m1,1.6182722397091617e-19,59
test,4,m1,1.916561729766502e-16,60
test,4,m1,3.1492327223299957e-19,61
test,4,m1,4.981798338892158e-16,62
test,4,m1,1.4829527293258462e-19,63
test,4,m1,2.0931404218057277e-18,64
train,7,m1,1.2081073413231395e-29,1
train,7,m1,2.916223886404055e-22,2
train,7,m1,4.76647091699709e-16,3
train,7,m1,7.215202446441692e-20,4
train,7,m1,1.416542275353085e-19,5
train,7,m1,3.923875826816361e-17,6
train,7,m1,9.489512337206084e-16,7
train,7,m1,4.691668908029471e-16,8
train,7,m1,3.0053152485056203e-16,9
train,7,m1,4.967796354878452e-16,10
train,7,m1,3.031809168546314e-15,11
train,7,m1,3.4634171361603476e-15,12
train,7,m1,8.723330590591338e-15,13
train,7,m1,2.6017363422700603e-16,14
train,7,m1,1.0040524421812188e-14,15
train,7,m1,2.171914957724199e-14,16
train,7,m1,7.033547718180528e-15,17
train,7,m1,9.980379153326502e-15,18
train,7,m1,8.797372599247033e-16,19
train,7,m1,2.4646414127789916e-14,20
train,7,m1,4.515001552154747e-15,21
train,7,m1,5.804733992890461e-17,22
train,7,m1,9.913765094222635e-15,23
train,7,m1,5.326612852104293e-15,24
train,7,m1,7.522187261166141e-16,25
train,7,m1,2.8676861588621894e-16,26
train,7,m1,2.328332466335504e-14,27
train,7,m1,1.5550898107207986e-14,28
train,7,m1,1.8614309651499884e-14,29
train,7,m1,3.759414652462935e-16,30
train,7,m1,1.388344572320432e-16,31
train,7,m1,1.5543701503529877e-15,32
train,7,m1,3.2569689488931098e-15,33
