blockcollect,ID,condition,correctcollect,p,trialcollect
train,2,m1,0.4166666666666667,0.00016366117275098144,19
train,2,m1,0.6666666666666666,0.00012114961551220449,20
train,2,m1,0.16666666666666666,0.00022006884083107685,21
train,2,m1,0.25,0.00019722923221846914,22
train,2,m1,0.8333333333333334,2.918888355032733e-05,23
train,2,m1,0.3333333333333333,8.299685434507105e-05,24
train,2,m1,0.4166666666666667,3.33865492048838e-05,25
train,2,m1,0.3333333333333333,0.0017107133564311103,26
train,2,m1,0.4166666666666667,5.053909078989734e-05,27
train,2,m1,0.75,0.00025968836491440923,28
train,2,m1,1.0,0.00010522299282445708,29
train,2,m1,0.8333333333333334,0.00017901228858065355,30
train,2,m1,0.8333333333333334,0.00018551722808959661,31
train,2,m1,0.8333333333333334,0.00021487284016721804,32
train,2,m1,1.0,0.00022590496394997694,33
train,2,m1,0.8333333333333334,0.00032187405609852707,34
train,2,m1,1.0,0.00204870234999975,35
train,2,m1,0.3333333333333333,0.00017425859587080606,36
train,2,m1,0.16666666666666666,5.783300892340329e-05,37
train,2,m1,0.9166666666666666,0.00027007444101662613,38
train,2,m1,0.8333333333333334,0.00027673519867225493,39
train,2,m1,0.3333333333333333,6.662095342682177e-05,40
test,2,m1,0.25,3.682416518271568e-18,41
test,2,m1,0.5,1.4346106390922001e-08,42
test,2,m1,0.5,2.4750211947112667e-08,43
test,2,m1,0.16666666666666666,3.970802696655723e-08,44
test,2,m1,0.3333333333333333,6.028878998090532e-08,45
test,2,m1,0.08333333333333333,8.763879600355703e-08,46
test,2,m1,0.16666666666666666,1.2296811921184106e-07,47
test,2,m1,0.16666666666666666,3.729572596050532e-08,48
test,2,m1,0.75,1.2330610037567301e-05,49
test,2,m1,0.3333333333333333,1.370553068076722e-05,50
test,2,m1,0.4166666666666667,1.9437865328486275e-05,51
test,2,m1,0.4166666666666667,2.364328376247524e-05,52
test,2,m1,0.25,3.1770390155108784e-05,53
test,2,m1,0.3333333333333333,1.601223122065069e-05,54
test,2,m1,0.16666666666666666,4.0501981479789386e-05,55
test,2,m1,0.3333333333333333,5.1931703991249845e-05,56
test,2,m1,0.25,4.507702390878874e-05,57
test,2,m1,0.4166666666666667,5.315828648660248e-05,58
test,2,m1,0.75,2.3798377413204043e-05,59
test,2,m1,0.25,7.230246272576431e-05,60
test,2,m1,0.3333333333333333,6.4826392951869e-05,61
test,2,m1,0.25,9.892715133465517e-05,62
test,2,m1,0.8333333333333334,0.0010899656469930386,63
test,2,m1,0.25,0.0007952303100322999,64
train,3,m1,0.5,2.2069942057856777e-09,1
train,3,m1,0.25,2.207419329396134e-09,2
train,3,m1,0.4166666666666667,1.180418762712532e-12,3
train,3,m1,0.8333333333333334,1.8333551823006623e-06,4
